file,line,classification,source
apps\public_nextjs\app\contact\page.tsx,1,NOT_AVAILABLE,"<button className=""button"" disabled>"
apps\public_nextjs\app\docs\page.tsx,1,UNVERIFIED,"<Link className=""button"" href=""/architecture"">"
apps\public_nextjs\app\downloads\page.tsx,10,UNVERIFIED,"<a className=""button"" href={release.url}>"
apps\public_nextjs\app\downloads\page.tsx,10,NOT_AVAILABLE,"<button className=""button"" disabled>"
apps\public_nextjs\app\page.tsx,4,UNVERIFIED,"<Link className=""button"" href=""/downloads"">"
apps\public_nextjs\app\page.tsx,4,UNVERIFIED,"<Link className=""button secondary"" href=""/architecture"">"
apps\public_nextjs\app\page.tsx,4,UNVERIFIED,"<Link href=""/status"">"
apps\public_nextjs\app\security\page.tsx,4,UNVERIFIED,"<Link href=""/status"">"
apps\public_nextjs\app\security\page.tsx,4,UNVERIFIED,"<Link href=""/privacy"">"
apps\public_nextjs\app\share\[code]\page.tsx,10,UNVERIFIED,"<a className=""button"" href={`${portalUrl}/inbox`}>"
apps\public_nextjs\components\cta.tsx,1,UNVERIFIED,"<Link className=""button light"" href=""/downloads"">"
apps\public_nextjs\components\cta.tsx,1,UNVERIFIED,"<Link className=""button outline-light"" href=""/docs"">"
apps\public_nextjs\components\footer.tsx,2,UNVERIFIED,"<Link href=""/downloads"">"
apps\public_nextjs\components\footer.tsx,2,UNVERIFIED,"<Link href=""/pricing"">"
apps\public_nextjs\components\footer.tsx,2,UNVERIFIED,"<Link href=""/status"">"
apps\public_nextjs\components\footer.tsx,2,UNVERIFIED,"<Link href=""/docs"">"
apps\public_nextjs\components\footer.tsx,2,UNVERIFIED,"<Link href=""/architecture"">"
apps\public_nextjs\components\footer.tsx,2,UNVERIFIED,"<Link href=""/security"">"
apps\public_nextjs\components\footer.tsx,2,UNVERIFIED,"<Link href=""/privacy"">"
apps\public_nextjs\components\footer.tsx,2,UNVERIFIED,"<Link href=""/terms"">"
apps\public_nextjs\components\footer.tsx,2,UNVERIFIED,"<Link href=""/contact"">"
apps\public_nextjs\components\header.tsx,4,UNVERIFIED,"<Link className=""brand"" href=""/"">"
apps\public_nextjs\components\header.tsx,4,UNVERIFIED,<Link key={b} href={b}>
apps\public_nextjs\components\header.tsx,4,UNVERIFIED,"<Link className=""ghost"" href=""/status"">"
apps\public_nextjs\components\header.tsx,4,UNVERIFIED,"<a className=""ghost"" href={`${portalUrl}/login`}>"
apps\public_nextjs\components\header.tsx,4,UNVERIFIED,"<a className=""ghost"" href={`${portalUrl}/register`}>"
apps\public_nextjs\components\header.tsx,4,UNVERIFIED,"<a className=""button small"" href={portalUrl}>"
apps\web_angular\src\app\layout\shell.component.ts,4,UNVERIFIED,"<a class=""brand"" routerLink=""/dashboard"">"
apps\web_angular\src\app\layout\shell.component.ts,4,UNVERIFIED,"<a [href]=""publicSiteUrl"">"
apps\web_angular\src\app\layout\shell.component.ts,4,UNVERIFIED,"<a [href]=""publicSiteUrl + '/privacy'"">"
apps\web_angular\src\app\layout\shell.component.ts,4,UNVERIFIED,"<a [href]=""adminUrl"">"
apps\web_angular\src\app\layout\shell.component.ts,4,UNVERIFIED,"<a [routerLink]=""item.path"" routerLinkActive=""active"">"
apps\web_angular\src\app\layout\shell.component.ts,4,UNVERIFIED,"<button class=""logout"" (click)=""auth.logout()"">"
apps\web_angular\src\app\pages\compress.page.ts,6,UNVERIFIED,"<button class=""primary"" [disabled]=""!file()||running()"" (click)=""start()"">"
apps\web_angular\src\app\pages\compress.page.ts,6,UNVERIFIED,"<button (click)=""download()"">"
apps\web_angular\src\app\pages\dashboard.page.ts,5,UNVERIFIED,"<a class=""primary"" routerLink=""/compress"">"
apps\web_angular\src\app\pages\dashboard.page.ts,5,UNVERIFIED,"<button [disabled]=""loading()"" (click)=""load()"">"
apps\web_angular\src\app\pages\dashboard.page.ts,5,UNVERIFIED,"<a routerLink=""/files"">"
apps\web_angular\src\app\pages\dashboard.page.ts,5,UNVERIFIED,"<a routerLink=""/compress"">"
apps\web_angular\src\app\pages\dashboard.page.ts,5,UNVERIFIED,"<a routerLink=""/shares"">"
apps\web_angular\src\app\pages\dashboard.page.ts,5,UNVERIFIED,"<a routerLink=""/inbox"">"
apps\web_angular\src\app\pages\dashboard.page.ts,5,UNVERIFIED,"<a routerLink=""/security"">"
apps\web_angular\src\app\pages\files.page.ts,7,UNVERIFIED,"<button [disabled]=""loading()"" (click)=""load()"">"
apps\web_angular\src\app\pages\files.page.ts,10,UNVERIFIED,"<button [disabled]=""downloading()!==null"" (click)=""download(f)"">"
apps\web_angular\src\app\pages\inbox.page.ts,7,UNVERIFIED,"<button class=""primary"" [disabled]=""!file||busy()"" (click)=""restore()"">"
apps\web_angular\src\app\pages\inbox.page.ts,8,UNVERIFIED,"<button class=""primary"" [disabled]=""!code||busy()"" (click)=""redeem()"">"
apps\web_angular\src\app\pages\inbox.page.ts,8,UNVERIFIED,"<button [disabled]=""busy()"" (click)=""downloadShare()"">"
apps\web_angular\src\app\pages\login.page.ts,2,UNVERIFIED,"<button class=""primary"" [disabled]=""busy()"">"
apps\web_angular\src\app\pages\login.page.ts,2,UNVERIFIED,"<a routerLink=""/register"">"
apps\web_angular\src\app\pages\register.page.ts,3,UNVERIFIED,"<button class=""primary"" [disabled]=""busy()"">"
apps\web_angular\src\app\pages\register.page.ts,3,UNVERIFIED,"<a routerLink=""/login"">"
apps\web_angular\src\app\pages\security.page.ts,11,UNVERIFIED,"<button class=""primary"" [disabled]=""busy()"" (click)=""refresh()"">"
apps\web_angular\src\app\pages\settings.page.ts,3,UNVERIFIED,"<button [disabled]=""busy()"" (click)=""load()"">"
apps\web_angular\src\app\pages\shares.page.ts,4,UNVERIFIED,"<button class=""primary"" [disabled]=""busy()||!fileId||!email"" (click)=""create()"">"
apps\web_angular\src\app\pages\shares.page.ts,4,UNVERIFIED,"<button class=""primary"" [disabled]=""busy()||!fileId||!email"" (click)=""send()"">"
apps\admin_dotnet\Components\Layout\MainLayout.razor,32,UNVERIFIED,"<button disabled=""@_signingOut"" @onclick=""Logout"">"
apps\admin_dotnet\Components\Layout\NavMenu.razor,3,UNVERIFIED,"<a href=""@Configuration[""PortalUrl""]"">"
apps\admin_dotnet\Components\Layout\NavMenu.razor,4,UNVERIFIED,"<NavLink href=""/"" Match=""NavLinkMatch.All"">"
apps\admin_dotnet\Components\Layout\NavMenu.razor,5,UNVERIFIED,"<NavLink href=""/users"">"
apps\admin_dotnet\Components\Layout\NavMenu.razor,6,UNVERIFIED,"<NavLink href=""/jobs"">"
apps\admin_dotnet\Components\Layout\NavMenu.razor,7,UNVERIFIED,"<NavLink href=""/incidents"">"
apps\admin_dotnet\Components\Layout\NavMenu.razor,8,UNVERIFIED,"<NavLink href=""/quarantine"">"
apps\admin_dotnet\Components\Layout\NavMenu.razor,9,UNVERIFIED,"<NavLink href=""/audit"">"
apps\admin_dotnet\Components\Layout\NavMenu.razor,10,UNVERIFIED,"<NavLink href=""/system"">"
apps\admin_dotnet\Components\Layout\NavMenu.razor,12,UNVERIFIED,"<NavLink href=""/privacy"">"
apps\admin_dotnet\Components\Pages\Audit.razor,7,UNVERIFIED,"<a class=""button primary"" href=""/login"">"
apps\admin_dotnet\Components\Pages\Error.razor,3,UNVERIFIED,"<a class=""button primary"" href=""/"">"
apps\admin_dotnet\Components\Pages\Home.razor,10,UNVERIFIED,"<a class=""button primary"" href=""/login"">"
apps\admin_dotnet\Components\Pages\Home.razor,16,UNVERIFIED,"<button class=""button"" @onclick=""LoadAsync"">"
apps\admin_dotnet\Components\Pages\Home.razor,40,UNVERIFIED,"<a href=""/jobs"">"
apps\admin_dotnet\Components\Pages\Home.razor,58,UNVERIFIED,"<a href=""/incidents"">"
apps\admin_dotnet\Components\Pages\Jobs.razor,7,UNVERIFIED,"<a class=""button primary"" href=""/login"">"
apps\admin_dotnet\Components\Pages\Login.razor,12,UNVERIFIED,"<button class=""button"" type=""submit"" disabled=""@_busy"">"
apps\admin_dotnet\Components\Pages\SystemHealth.razor,4,UNVERIFIED,"<button class=""button"" disabled=""@_loading"" @onclick=""Load"">"
apps\admin_dotnet\Components\Pages\Users.razor,7,UNVERIFIED,"<a class=""button primary"" href=""/login"">"
apps\admin_dotnet\Components\Routes.razor,14,UNVERIFIED,"<a class=""button primary"" href=""/"">"
apps\mobile_authenticator_flutter\lib\main.dart,57,UNVERIFIED,"onPressed: state.initialize, child: const Text('Retry secure storage'))],"
apps\mobile_authenticator_flutter\lib\screens\home_screen.dart,15,UNVERIFIED,"onPressed: state.lock, icon: const Icon(Icons.lock_outline), tooltip: 'Lock'),"
apps\mobile_authenticator_flutter\lib\screens\lock_screen.dart,36,UNVERIFIED,"onPressed: state.unlocking ? null : state.unlock,"
apps\mobile_authenticator_flutter\lib\widgets\account_code_card.dart,41,UNVERIFIED,onSelected: (value) async {
apps\mobile_authenticator_flutter\lib\widgets\account_code_card.dart,47,UNVERIFIED,"onPressed: () => Navigator.pop(ctx, false), child: const Text('Cancel')),"
apps\mobile_authenticator_flutter\lib\widgets\account_code_card.dart,48,UNVERIFIED,"onPressed: () => Navigator.pop(ctx, true), child: const Text('Delete'))],"
apps\mobile_authenticator_flutter\lib\widgets\account_code_card.dart,67,UNVERIFIED,onTap: () async {
apps\mobile_authenticator_flutter\lib\widgets\mfa_setup.dart,98,UNVERIFIED,"onPressed: busy ? null : () => run(action), child: Text(label)));"
apps\mobile_authenticator_flutter\lib\widgets\mfa_setup.dart,118,UNVERIFIED,"onPressed: busy ? null : () => setState(() { registering = !registering; error = null; }),"
apps\mobile_authenticator_flutter\lib\widgets\mfa_setup.dart,160,UNVERIFIED,onPressed: busy ? null : () => run(() async {
apps\desktop_flutter\lib\screens\app_shell.dart,2,UNVERIFIED,"onSelected:s.setPage,leading:const Padding(padding:EdgeInsets.symmetric(vertical:18),child:CircleAvatar(radius:23,child:Text('XC'))),destinations:const[NavigationRailDestination(icon:Icon(Ico"
apps\desktop_flutter\lib\screens\compress_screen.dart,2,UNVERIFIED,"onPressed:()=>s.setPage(3),child:const Text('Sign in / mobile code')),const SizedBox(height:24),FileSelector(value:s.inputPath,onChanged:s.selectInput,label:'Input file'),const SizedBox(heig"
apps\desktop_flutter\lib\screens\compress_screen.dart,2,UNVERIFIED,"onPressed:()=>out(c),icon:const Icon(Icons.save),label:Text(s.outputPath??'Select output .xaic')))]),const SizedBox(height:20),if(s.processing)...[const LinearProgressIndicator(),const Sized"
apps\desktop_flutter\lib\screens\compress_screen.dart,2,UNVERIFIED,"onPressed:s.inputPath!=null&&s.outputPath!=null?s.compress:null,icon:const Icon(Icons.compress),label:const Text('Compress')),const SizedBox(width:10),if(s.status!='Ready')Text(s.status)]),i"
apps\desktop_flutter\lib\screens\compress_screen.dart,2,UNVERIFIED,"onPressed:s.cancel,child:const Text('Cancel')),if(s.lastResult!=null)...[const SizedBox(height:24),ResultCard(result:s.lastResult!)] ])));}}"
apps\desktop_flutter\lib\screens\decompress_screen.dart,33,UNVERIFIED,"onPressed: () => selectOutput(context),"
apps\desktop_flutter\lib\screens\decompress_screen.dart,41,UNVERIFIED,"onPressed: state.cancel, child: const Text('Cancel')),"
apps\desktop_flutter\lib\screens\decompress_screen.dart,44,UNVERIFIED,"onPressed: state.inputPath != null && state.outputPath != null ? state.decompress : null,"
apps\desktop_flutter\lib\screens\history_screen.dart,18,UNVERIFIED,"onPressed: state.items.isEmpty ? null : state.clearHistory,"
apps\desktop_flutter\lib\screens\receive_screen.dart,35,UNVERIFIED,"onTap:()=>Navigator.pop(dialog,row)),"
apps\desktop_flutter\lib\screens\receive_screen.dart,36,UNVERIFIED,"onPressed:()=>Navigator.pop(dialog),child:const Text('Close'))]));"
apps\desktop_flutter\lib\screens\receive_screen.dart,48,UNVERIFIED,"onPressed:busy?null:()=>run(login),child:Text(registering?'Create account':'Sign in')),"
apps\desktop_flutter\lib\screens\receive_screen.dart,49,UNVERIFIED,"onPressed:busy?null:()=>setState(()=>registering=!registering),child:Text(registering?'Sign in instead':'Create account')),"
apps\desktop_flutter\lib\screens\receive_screen.dart,52,UNVERIFIED,"onPressed:busy?null:()=>run(history),child:const Text('Cloud history and downloads')),"
apps\desktop_flutter\lib\screens\receive_screen.dart,54,UNVERIFIED,"onPressed:busy?null:()=>run(()async{await api.redeem(code.text.trim());if(mounted)result='Share available. Download the artifact below.';}),child:const Text('Redeem code')),"
apps\desktop_flutter\lib\screens\receive_screen.dart,55,UNVERIFIED,"onPressed:busy?null:()=>run(download),child:const Text('Download artifact')),"
apps\desktop_flutter\lib\screens\receive_screen.dart,56,UNVERIFIED,"onPressed:busy?null:()=>run(()async{await api.logout();if(mounted){code.clear();result='Signed out.';}}),child:const Text('Logout')),"
apps\desktop_flutter\lib\screens\settings_screen.dart,59,UNVERIFIED,onPressed: () async {
apps\desktop_flutter\lib\screens\settings_screen.dart,92,UNVERIFIED,"onPressed: pick, icon: const Icon(Icons.folder_open)),"
apps\desktop_flutter\lib\widgets\file_selector.dart,33,UNVERIFIED,"onTap: pick,"
