file,extension,bytes,category
data\train\archive\config.json,.json,788,source_text_configuration
data\train\archive\generation_config.json,.json,112,source_text_configuration
data\train\archive\logs\events.out.tfevents.1734400848.adb5537c5a76.23.0,.0,7456,other
data\train\archive\logs\events.out.tfevents.1734402410.adb5537c5a76.23.1,.1,10506,other
data\train\archive\logs\events.out.tfevents.1734403779.adb5537c5a76.23.2,.2,6014,other
data\train\archive\logs\events.out.tfevents.1734403824.adb5537c5a76.23.3,.3,8158,other
data\train\archive\logs\events.out.tfevents.1734404650.adb5537c5a76.23.4,.4,7446,other
data\train\archive\model.safetensors,.safetensors,1100445544,binary_model
data\train\archive\results\checkpoint-1000\config.json,.json,788,source_text_configuration
data\train\archive\results\checkpoint-1000\generation_config.json,.json,112,source_text_configuration
data\train\archive\results\checkpoint-1000\model.safetensors,.safetensors,1100445544,binary_model
data\train\archive\results\checkpoint-1000\optimizer.pt,.pt,2201061370,binary_model
data\train\archive\results\checkpoint-1000\rng_state.pth,.pth,14244,binary_model
data\train\archive\results\checkpoint-1000\scheduler.pt,.pt,1064,binary_model
data\train\archive\results\checkpoint-1000\special_tokens_map.json,.json,1451,source_text_configuration
data\train\archive\results\checkpoint-1000\spiece.model,.model,1102207,binary_model
data\train\archive\results\checkpoint-1000\tokenizer.json,.json,6408126,source_text_configuration
data\train\archive\results\checkpoint-1000\tokenizer_config.json,.json,10399,source_text_configuration
data\train\archive\results\checkpoint-1000\trainer_state.json,.json,1384,source_text_configuration
data\train\archive\results\checkpoint-1000\training_args.bin,.bin,5368,binary_model
data\train\archive\results\checkpoint-1290\config.json,.json,788,source_text_configuration
data\train\archive\results\checkpoint-1290\generation_config.json,.json,112,source_text_configuration
data\train\archive\results\checkpoint-1290\model.safetensors,.safetensors,1100445544,binary_model
data\train\archive\results\checkpoint-1290\optimizer.pt,.pt,2201061370,binary_model
data\train\archive\results\checkpoint-1290\rng_state.pth,.pth,14244,binary_model
data\train\archive\results\checkpoint-1290\scheduler.pt,.pt,1064,binary_model
data\train\archive\results\checkpoint-1290\special_tokens_map.json,.json,1451,source_text_configuration
data\train\archive\results\checkpoint-1290\spiece.model,.model,1102207,binary_model
data\train\archive\results\checkpoint-1290\tokenizer.json,.json,6408126,source_text_configuration
data\train\archive\results\checkpoint-1290\tokenizer_config.json,.json,10399,source_text_configuration
data\train\archive\results\checkpoint-1290\trainer_state.json,.json,4325,source_text_configuration
data\train\archive\results\checkpoint-1290\training_args.bin,.bin,5368,binary_model
data\train\archive\results\checkpoint-140\config.json,.json,788,source_text_configuration
data\train\archive\results\checkpoint-140\generation_config.json,.json,112,source_text_configuration
data\train\archive\results\checkpoint-140\model.safetensors,.safetensors,1100445544,binary_model
data\train\archive\results\checkpoint-140\optimizer.pt,.pt,2201061370,binary_model
data\train\archive\results\checkpoint-140\rng_state.pth,.pth,14244,binary_model
data\train\archive\results\checkpoint-140\scheduler.pt,.pt,1064,binary_model
data\train\archive\results\checkpoint-140\special_tokens_map.json,.json,1451,source_text_configuration
data\train\archive\results\checkpoint-140\spiece.model,.model,1102207,binary_model
data\train\archive\results\checkpoint-140\tokenizer.json,.json,6408126,source_text_configuration
data\train\archive\results\checkpoint-140\tokenizer_config.json,.json,10399,source_text_configuration
data\train\archive\results\checkpoint-140\trainer_state.json,.json,2606,source_text_configuration
data\train\archive\results\checkpoint-140\training_args.bin,.bin,5368,binary_model
data\train\archive\results\checkpoint-2000\config.json,.json,788,source_text_configuration
data\train\archive\results\checkpoint-2000\generation_config.json,.json,112,source_text_configuration
data\train\archive\results\checkpoint-2000\model.safetensors,.safetensors,1100445544,binary_model
data\train\archive\results\checkpoint-2000\optimizer.pt,.pt,2201061370,binary_model
data\train\archive\results\checkpoint-2000\rng_state.pth,.pth,14244,binary_model
data\train\archive\results\checkpoint-2000\scheduler.pt,.pt,1064,binary_model
data\train\archive\results\checkpoint-2000\special_tokens_map.json,.json,1451,source_text_configuration
data\train\archive\results\checkpoint-2000\spiece.model,.model,1102207,binary_model
data\train\archive\results\checkpoint-2000\tokenizer.json,.json,6408126,source_text_configuration
data\train\archive\results\checkpoint-2000\tokenizer_config.json,.json,10399,source_text_configuration
data\train\archive\results\checkpoint-2000\trainer_state.json,.json,2006,source_text_configuration
data\train\archive\results\checkpoint-2000\training_args.bin,.bin,5368,binary_model
data\train\archive\results\checkpoint-2709\config.json,.json,788,source_text_configuration
data\train\archive\results\checkpoint-2709\generation_config.json,.json,112,source_text_configuration
data\train\archive\results\checkpoint-2709\model.safetensors,.safetensors,1100445544,binary_model
data\train\archive\results\checkpoint-2709\optimizer.pt,.pt,2201061370,binary_model
data\train\archive\results\checkpoint-2709\rng_state.pth,.pth,14244,binary_model
data\train\archive\results\checkpoint-2709\scheduler.pt,.pt,1064,binary_model
data\train\archive\results\checkpoint-2709\special_tokens_map.json,.json,1451,source_text_configuration
data\train\archive\results\checkpoint-2709\spiece.model,.model,1102207,binary_model
data\train\archive\results\checkpoint-2709\tokenizer.json,.json,6408126,source_text_configuration
data\train\archive\results\checkpoint-2709\tokenizer_config.json,.json,10399,source_text_configuration
data\train\archive\results\checkpoint-2709\trainer_state.json,.json,2165,source_text_configuration
data\train\archive\results\checkpoint-2709\training_args.bin,.bin,5368,binary_model
data\train\archive\special_tokens_map.json,.json,1451,source_text_configuration
data\train\archive\spiece.model,.model,1102207,binary_model
data\train\archive\tokenizer.json,.json,6408126,source_text_configuration
data\train\archive\tokenizer_config.json,.json,10399,source_text_configuration
data\train\archive\training_args.bin,.bin,5368,binary_model
data\train\archive\wandb\run-20241217_020210-f69emzpa\files\output.log,.log,21338,source_text_configuration
data\train\archive\wandb\run-20241217_020210-f69emzpa\files\requirements.txt,.txt,14974,source_text_configuration
data\train\archive\wandb\run-20241217_020210-f69emzpa\files\wandb-metadata.json,.json,786,source_text_configuration
data\train\archive\wandb\run-20241217_020210-f69emzpa\logs\debug-internal.log,.log,11953,source_text_configuration
data\train\archive\wandb\run-20241217_020210-f69emzpa\logs\debug.log,.log,53431,source_text_configuration
data\train\archive\wandb\run-20241217_020210-f69emzpa\run-f69emzpa.wandb,.wandb,327680,other
data\train\archive (1)\FaceForensics++_C23\csv\DeepFakeDetection.csv,.csv,95114,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\csv\Deepfakes.csv,.csv,53470,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\csv\Face2Face.csv,.csv,53467,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\csv\FaceShifter.csv,.csv,55455,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\csv\FaceSwap.csv,.csv,52445,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\csv\FF++_Metadata.csv,.csv,423139,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\csv\FF++_Metadata_Shuffled.csv,.csv,423139,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\csv\Mean_Data.csv,.csv,392,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\csv\NeuralTextures.csv,.csv,58441,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\csv\original.csv,.csv,48459,source_text_configuration
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_02__meeting_serious__YVGY8LOK.mp4,.mp4,6745903,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_02__outside_talking_still_laughing__YVGY8LOK.mp4,.mp4,5290755,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_02__talking_against_wall__YVGY8LOK.mp4,.mp4,3471524,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_02__walk_down_hall_angry__YVGY8LOK.mp4,.mp4,1164071,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,.mp4,12640206,already_compressed_or_media
