SHA_PASS,actual_bpb,candidate_generation_ms,category,chunks,compressed_bytes,compression_MiB_s,compression_ms,decompression_MiB_s,decompression_ms,feature_scan_ms,inference_ms,metadata_bytes,metadata_percent,method,microbenchmark_ms,oracle_bytes,oracle_gap_percent,oracle_strategy,original_bytes,peak_RSS_MB,plan_mode,ratio,routing_mode,selected_strategy,selection_ms,selector_confidence,size_bucket,source,source_id,status
True,8.012321909896034,,archive,,2601,0.15670605577058638,15.804700000444427,176.90670968493004,0.013999990187585354,,,,,A_fixed_best,,,,,2597,208.6875,,0.9984621299500193,,brotli-11,,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS
True,10.375048132460531,9.792299984837882,archive,,3368,0.061421327780362224,40.32299999380484,0.08408764266819369,29.45369998633396,8.621700006187893,3.198200007318519,771,22.891923990498814,B_hybrid_v1,7.4874999991152436,,,,2597,220.125,,0.7710807600950119,,"{""raw"": 1}",19.307400012621656,N/A,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS
True,10.31959953792838,,archive,,3350,0.2990126886818784,8.282900002086535,0.16686377070801287,14.8425999796018,0.017600017599761486,0.0,753,22.47761194029851,C_ai_only,0.0,,,,2597,203.1875,,0.775223880597015,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS
True,10.31959953792838,,archive,,3350,0.9450138052743874,2.6208000199403614,0.19638207697706084,12.611599988304079,0.012900010915473104,0.0,753,22.47761194029851,D_ai_top2,0.0,,,,2597,204.203125,,0.775223880597015,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS
True,10.35656526761648,,archive,,3362,1.2557380718416464,1.972300000488758,0.2099069581940557,11.798999999882653,0.008300004992634058,0.0,765,22.754312908982747,E_confidence_adaptive,0.0,,,,2597,204.203125,,0.7724568709101726,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS
True,8.209472468232576,0.0,archive,1,2665,0.6745355522663637,3.6717000184580684,0.6406177259949766,3.866100014420226,0.008300004992634058,0.0,68,2.551594746716698,F_compact_xaic,0.0,,,,2597,204.22265625,requested_chunking,0.974484052532833,confidence,"[""raw|default|identity""]",0.4751000087708235,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS
True,8.206391990758567,0.0,archive,1,2664,0.7046066023219475,3.5149999894201756,0.6417298555515221,3.859399992506951,0.010000017937272787,0.0,67,2.515015015015015,G_compact_adaptive,0.0,,,,2597,204.22265625,whole_file,0.9748498498498499,confidence,"[""raw|default|identity""]",0.2198000147473067,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS
True,8.206391990758567,0.0,archive,1,2664,0.3557443550550934,6.961999999475665,0.0752329778191094,32.920300000114366,0.6702999962726608,0.0,67,2.515015015015015,H_full_v2,0.0,2664,0.0,raw|default|identity,2597,220.125,whole_file,0.9748498498498499,confidence,"[""raw|default|identity""]",1.1325000086799264,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS
True,7.76128339382805,,archive,,10552953,0.04407906862481418,235341.28839999903,17.30184064549701,599.5677000028081,,,,,A_fixed_best,,,,,10877534,283.2734375,,1.0307573624178938,,brotli-11,,,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\server-development\0.pack.gz,ab9fd50e606430ff1ad4,PASS
True,7.997853189886605,22.654699962004088,archive,,10874615,5.994599696421428,1730.4949999961536,16.50107696985924,628.663499999675,364.1236000112258,75.289000000339,5281,0.04856263876928057,B_hybrid_v1,783.9399999793386,,,,10877534,327.125,,1.0002684232959052,,"{""brotli"": 1, ""raw"": 10}",1223.3525999909034,N/A,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\server-development\0.pack.gz,ab9fd50e606430ff1ad4,PASS
