SHA_PASS,actual_bpb,category,compressed_bytes,compression_ms,decompression_ms,oracle_strategy,original_bytes,profile,reason,size_bucket,source,source_id,status,strategies_measured
True,8.206391990758567,archive,2664,8.316899999044836,10.121800005435944,raw|default|identity,2597,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS,27
True,8.206391990758567,archive,2664,8.316899999044836,10.121800005435944,raw|default|identity,2597,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS,27
True,8.206391990758567,archive,2664,8.316899999044836,10.121800005435944,raw|default|identity,2597,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\2.pack.gz,86aebd2a6ca744d6ce03,PASS,27
,,archive,,,,,,smallest,exhaustive oracle bounded to files <=10 MiB,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\server-development\0.pack.gz,ab9fd50e606430ff1ad4,N/A,0
,,archive,,,,,,fastest,exhaustive oracle bounded to files <=10 MiB,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\server-development\0.pack.gz,ab9fd50e606430ff1ad4,N/A,0
,,archive,,,,,,balanced,exhaustive oracle bounded to files <=10 MiB,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\server-development\0.pack.gz,ab9fd50e606430ff1ad4,N/A,0
True,256.0,binary,64,32.48060001351405,29.055199993308634,raw|default|identity,2,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_v3_tiny_chunks_and_empty_2\in,1d6d63467cb8c5a8f0b8,PASS,27
True,256.0,binary,64,32.48060001351405,29.055199993308634,raw|default|identity,2,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_v3_tiny_chunks_and_empty_2\in,1d6d63467cb8c5a8f0b8,PASS,27
True,256.0,binary,64,32.48060001351405,29.055199993308634,raw|default|identity,2,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_v3_tiny_chunks_and_empty_2\in,1d6d63467cb8c5a8f0b8,PASS,27
True,17.959183673469386,binary,110,176.8441000021994,413.87410000606906,brotli|6|identity,49,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS,27
True,18.122448979591837,binary,111,33.845099998870865,123.69429999671411,brotli|6|dictionary,49,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS,27
True,18.122448979591837,binary,111,33.845099998870865,123.69429999671411,brotli|6|dictionary,49,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS,27
True,21.05263157894737,csv,100,72.1421000052942,84.752099995967,raw|default|identity,38,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS,27
True,21.05263157894737,csv,100,72.1421000052942,84.752099995967,raw|default|identity,38,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS,27
True,21.05263157894737,csv,100,72.1421000052942,84.752099995967,raw|default|identity,38,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS,27
True,11.733333333333333,csv,132,59.44739999540616,349.1708999936236,brotli|4|identity,90,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\final_comparison.csv,921d357da1bee764ce1d,PASS,27
True,13.511111111111111,csv,152,52.617900000768714,45.50530000415165,raw|default|identity,90,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\final_comparison.csv,921d357da1bee764ce1d,PASS,27
True,11.733333333333333,csv,132,59.44739999540616,349.1708999936236,brotli|4|identity,90,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\final_comparison.csv,921d357da1bee764ce1d,PASS,27
True,4.287118287118287,executable,12214,3277.908200005186,414.61390000768006,brotli|11|identity,22792,smallest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\bin\Debug\net8.0\Microsoft.Extensions.ObjectPool.dll,63b80d177dabc1b0609f,PASS,27
True,4.322569322569323,executable,12315,327.76660000672564,432.23890000081155,lzma2|6|identity,22792,fastest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\bin\Debug\net8.0\Microsoft.Extensions.ObjectPool.dll,63b80d177dabc1b0609f,PASS,27
True,4.322569322569323,executable,12315,327.76660000672564,432.23890000081155,lzma2|6|identity,22792,balanced,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\bin\Debug\net8.0\Microsoft.Extensions.ObjectPool.dll,63b80d177dabc1b0609f,PASS,27
True,3.646798603026775,executable,15663,599.743299986585,396.72809999319725,lzma2|6|identity,34360,smallest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\bin\Debug\net8.0\Microsoft.Extensions.AmbientMetadata.Application.dll,8532a7e7c38dfc36aa1a,PASS,26
True,3.866589057043073,executable,16607,205.66130000224803,390.51489999110345,brotli|6|identity,34360,fastest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\bin\Debug\net8.0\Microsoft.Extensions.AmbientMetadata.Application.dll,8532a7e7c38dfc36aa1a,PASS,26
True,3.866589057043073,executable,16607,205.66130000224803,390.51489999110345,brotli|6|identity,34360,balanced,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\bin\Debug\net8.0\Microsoft.Extensions.AmbientMetadata.Application.dll,8532a7e7c38dfc36aa1a,PASS,26
True,2.524190894130554,image,2876,192.38219999533612,102.48660000797827,brotli|11|identity,9115,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\01_codec_bpb.png,b431de9bd8324ec90c36,PASS,26
True,2.6865606143719143,image,3061,22.002899990184233,70.05049999861512,deflate|6|identity,9115,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\01_codec_bpb.png,b431de9bd8324ec90c36,PASS,26
True,2.6865606143719143,image,3061,22.002899990184233,70.05049999861512,deflate|6|identity,9115,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\01_codec_bpb.png,b431de9bd8324ec90c36,PASS,26
True,3.002144388849178,image,3675,85.04160000302363,118.3413999970071,lzma2|6|identity,9793,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\04_decompression_speed.png,801658a38cf0cafec5ef,PASS,26
True,3.0903706729296436,image,3783,29.225200007203966,48.29759999120142,zstd|6|identity,9793,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\04_decompression_speed.png,801658a38cf0cafec5ef,PASS,26
True,3.0903706729296436,image,3783,29.225200007203966,48.29759999120142,zstd|6|identity,9793,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\04_decompression_speed.png,801658a38cf0cafec5ef,PASS,26
True,256.0,json,64,50.65049999393523,30.616199990618043,raw|default|identity,2,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\benchmark_results.json,b2d26822f2e8d5499ddf,PASS,27
True,288.0,json,72,19.448999999440275,83.04199999838602,deflate|6|delta,2,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\benchmark_results.json,b2d26822f2e8d5499ddf,PASS,27
