model,optimal_compressed_bytes,optimal_strategy,profile,regret,sample_id,selected_compressed_bytes,selected_strategy,size_regret_percent,source_category,split,top1_correct,top3_recall
rule_based,1676.0,brotli|6|identity,smallest,0.00021927527636971957,text_readme_16k,1679.0,brotli|9|identity,0.17899761336515513,text,test,False,False
rule_based,4178.0,brotli|9|identity,smallest,0.0,code_python_16k,4178.0,brotli|9|identity,0.0,source_code,test,True,True
rule_based,1221.0,brotli|9|identity,smallest,0.0,code_json_config,1221.0,brotli|9|identity,0.0,json,test,True,True
rule_based,24.0,brotli|6|identity,smallest,1.4563930207627128e-07,csv_numeric_16k,24.0,brotli|9|identity,0.0,csv,test,False,False
rule_based,551.0,zstd|3|byte-shuffle,smallest,0.1294197407326456,numeric_delta,9307.0,brotli|9|identity,1589.1107078039927,scientific,test,False,False
rule_based,4096.0,raw|default|identity,smallest,0.05371288761702242,random_4k,4156.0,lzma2|6|identity,1.46484375,random,test,False,False
rule_based,29.0,brotli|9|identity,smallest,0.0,repetitive_64k,29.0,brotli|9|identity,0.0,repetitive,test,True,True
rule_based,16407.0,raw|default|identity,smallest,0.0,gzip_random,16407.0,raw|default|identity,0.0,already_compressed,test,True,True
rule_based,28.0,brotli|6|identity,smallest,5.363561171549562e-07,neural_text_256,28.0,brotli|9|identity,0.0,neural_calibration,test,False,False
gradient_boosted_stumps,1676.0,brotli|6|identity,smallest,0.0,text_readme_16k,1676.0,brotli|6|identity,0.0,text,test,True,True
gradient_boosted_stumps,4178.0,brotli|9|identity,smallest,0.0,code_python_16k,4178.0,brotli|9|identity,0.0,source_code,test,True,True
gradient_boosted_stumps,1221.0,brotli|9|identity,smallest,0.006356263174234901,code_json_config,1239.0,brotli|6|dictionary,1.4742014742014742,json,test,False,True
gradient_boosted_stumps,24.0,brotli|6|identity,smallest,0.0,csv_numeric_16k,24.0,brotli|6|identity,0.0,csv,test,True,True
gradient_boosted_stumps,551.0,zstd|3|byte-shuffle,smallest,0.1294197407326456,numeric_delta,9307.0,brotli|9|identity,1589.1107078039927,scientific,test,False,False
