actual,count,model,predicted,profile
brotli|6|identity,1,rule_based,brotli|9|identity,smallest
brotli|9|identity,1,rule_based,brotli|9|identity,smallest
brotli|9|identity,1,rule_based,brotli|9|identity,smallest
brotli|6|identity,1,rule_based,brotli|9|identity,smallest
zstd|3|byte-shuffle,1,rule_based,brotli|9|identity,smallest
raw|default|identity,1,rule_based,lzma2|6|identity,smallest
brotli|9|identity,1,rule_based,brotli|9|identity,smallest
raw|default|identity,1,rule_based,raw|default|identity,smallest
brotli|6|identity,1,rule_based,brotli|9|identity,smallest
brotli|6|identity,1,gradient_boosted_stumps,brotli|6|identity,smallest
brotli|9|identity,1,gradient_boosted_stumps,brotli|9|identity,smallest
brotli|9|identity,1,gradient_boosted_stumps,brotli|6|dictionary,smallest
brotli|6|identity,1,gradient_boosted_stumps,brotli|6|identity,smallest
zstd|3|byte-shuffle,1,gradient_boosted_stumps,brotli|9|identity,smallest
raw|default|identity,1,gradient_boosted_stumps,raw|default|identity,smallest
brotli|9|identity,1,gradient_boosted_stumps,brotli|9|identity,smallest
raw|default|identity,1,gradient_boosted_stumps,raw|default|identity,smallest
brotli|6|identity,1,gradient_boosted_stumps,brotli|6|identity,smallest
zstd|9|identity,1,rule_based,zstd|1|identity,fastest
deflate|9|identity,1,rule_based,zstd|1|identity,fastest
deflate|6|identity,1,rule_based,zstd|1|identity,fastest
zstd|9|identity,1,rule_based,zstd|1|identity,fastest
zstd|9|identity,1,rule_based,zstd|1|identity,fastest
raw|default|identity,1,rule_based,zstd|1|identity,fastest
zstd|1|identity,1,rule_based,zstd|1|identity,fastest
raw|default|identity,1,rule_based,raw|default|identity,fastest
brotli|6|identity,1,rule_based,zstd|1|identity,fastest
zstd|9|identity,1,random_forest,zstd|9|identity,fastest
deflate|9|identity,1,random_forest,deflate|6|identity,fastest
deflate|6|identity,1,random_forest,zstd|9|identity,fastest
zstd|9|identity,1,random_forest,zstd|9|identity,fastest
zstd|9|identity,1,random_forest,zstd|9|identity,fastest
raw|default|identity,1,random_forest,raw|default|identity,fastest
zstd|1|identity,1,random_forest,zstd|1|identity,fastest
raw|default|identity,1,random_forest,raw|default|identity,fastest
brotli|6|identity,1,random_forest,zstd|9|identity,fastest
brotli|6|identity,1,rule_based,brotli|9|identity,balanced
brotli|9|identity,1,rule_based,brotli|9|identity,balanced
brotli|6|identity,1,rule_based,brotli|9|identity,balanced
brotli|6|identity,1,rule_based,brotli|9|identity,balanced
zstd|3|byte-shuffle,1,rule_based,brotli|9|identity,balanced
raw|default|identity,1,rule_based,zstd|3|identity,balanced
brotli|9|identity,1,rule_based,brotli|9|identity,balanced
raw|default|identity,1,rule_based,raw|default|identity,balanced
brotli|6|identity,1,rule_based,brotli|9|identity,balanced
brotli|6|identity,1,gradient_boosted_stumps,brotli|6|identity,balanced
brotli|9|identity,1,gradient_boosted_stumps,brotli|6|identity,balanced
brotli|6|identity,1,gradient_boosted_stumps,brotli|6|identity,balanced
brotli|6|identity,1,gradient_boosted_stumps,brotli|6|identity,balanced
zstd|3|byte-shuffle,1,gradient_boosted_stumps,brotli|6|identity,balanced
raw|default|identity,1,gradient_boosted_stumps,raw|default|identity,balanced
brotli|9|identity,1,gradient_boosted_stumps,brotli|6|identity,balanced
raw|default|identity,1,gradient_boosted_stumps,raw|default|identity,balanced
brotli|6|identity,1,gradient_boosted_stumps,brotli|6|identity,balanced
