sample_id,source_group,source_category,split,profile,best_strategy,best_codec,best_level,best_transform,expected_bpb,expected_compression_time,expected_decompression_time,profile_score
audio_wav,sine-wave,audio,train,smallest,brotli|6|identity,brotli,6,identity,0.40857073289505724,0.0012329999881330878,7.100000220816582e-05,0.0018535068100744548
audio_wav,sine-wave,audio,train,fastest,zstd|3|identity,zstd,3,identity,0.4212320428536645,5.740000051446259e-05,8.099988917820156e-06,0.00019684590406608056
audio_wav,sine-wave,audio,train,balanced,brotli|6|identity,brotli,6,identity,0.40857073289505724,0.0012329999881330878,7.100000220816582e-05,0.001052555958162693
code_json_config,model-search-config,json,test,smallest,brotli|9|identity,brotli,9,identity,2.4886624203821657,0.0030669999978272244,3.9300008211284876e-05,0.00014651141338576986
code_json_config,model-search-config,json,test,fastest,deflate|6|identity,deflate,6,identity,2.6680254777070065,0.00010320000001229346,2.200000744778663e-05,0.0018463986336456368
code_json_config,model-search-config,json,test,balanced,brotli|6|identity,brotli,6,identity,2.490700636942675,0.0012149999965913594,4.1100007365457714e-05,0.0013353949987523067
code_python_16k,compression-py-expanded,source_code,test,smallest,brotli|9|identity,brotli,9,identity,2.0400390625,0.007463400004780851,9.40000027185306e-05,7.754560100520454e-05
code_python_16k,compression-py-expanded,source_code,test,fastest,deflate|9|identity,deflate,9,identity,2.13818359375,0.00044669999624602497,4.369999805931002e-05,0.0010263353277645162
code_python_16k,compression-py-expanded,source_code,test,balanced,brotli|9|identity,brotli,9,identity,2.0400390625,0.007463400004780851,9.40000027185306e-05,0.0015449061861831097
code_python_4k,compression-py,source_code,train,smallest,brotli|9|identity,brotli,9,identity,2.943359375,0.0033339999936288223,3.91000066883862e-05,0.0001386788794172137
code_python_4k,compression-py,source_code,train,fastest,deflate|6|identity,deflate,6,identity,3.0859375,0.00010639999527484179,2.1899992134422064e-05,0.001607238724764003
code_python_4k,compression-py,source_code,train,balanced,brotli|6|identity,brotli,6,identity,2.94921875,0.0011897000076714903,4.16000111727044e-05,0.0015202382820941572
csv_benchmark,phase-i-csv,csv,train,smallest,brotli|9|identity,brotli,9,identity,2.5754985754985755,0.0051309000118635595,5.909999890718609e-05,0.00015609198069948833
csv_benchmark,phase-i-csv,csv,train,fastest,deflate|6|identity,deflate,6,identity,2.645215351097704,0.00012379999679978937,3.959999594371766e-05,0.0008163002645722759
csv_benchmark,phase-i-csv,csv,train,balanced,brotli|6|identity,brotli,6,identity,2.5848835260599965,0.001334200002020225,5.329999839887023e-05,0.0015991735170332252
csv_numeric_16k,numeric-csv,csv,test,smallest,brotli|6|identity,brotli,6,identity,0.01171875,0.00013179999950807542,3.359999391250312e-05,1.577671868253216e-06
csv_numeric_16k,numeric-csv,csv,test,fastest,zstd|9|identity,zstd,9,identity,0.0166015625,2.2599997464567423e-05,6.799993570894003e-06,3.934747475470885e-05
csv_numeric_16k,numeric-csv,csv,test,balanced,brotli|6|identity,brotli,6,identity,0.01171875,0.00013179999950807542,3.359999391250312e-05,2.9581851058607143e-05
database_fragment,sqlite-fragment,database,train,smallest,brotli|6|identity,brotli,6,identity,0.025365853658536587,0.00025240000104531646,4.169999738223851e-05,3.0203662131384616e-06
database_fragment,sqlite-fragment,database,train,fastest,zstd|9|identity,zstd,9,identity,0.026829268292682926,2.7399990358389914e-05,9.60000033956021e-06,2.1153559992549235e-05
database_fragment,sqlite-fragment,database,train,balanced,brotli|6|identity,brotli,6,identity,0.025365853658536587,0.00025240000104531646,4.169999738223851e-05,5.784656872646374e-05
executable_fragment,python-executable,executable,train,smallest,lzma2|6|identity,lzma2,6,identity,3.9716796875,0.019796100008534268,0.002228800003649667,0.010054098744079944
executable_fragment,python-executable,executable,train,fastest,brotli|6|identity,brotli,6,identity,4.3135986328125,0.004111900008865632,0.000534099992364645,0.004704430067197924
executable_fragment,python-executable,executable,train,balanced,brotli|6|identity,brotli,6,identity,4.3135986328125,0.004111900008865632,0.000534099992364645,0.03841498559844058
gzip_random,gzip-random,already_compressed,test,smallest,raw|default|identity,raw,,identity,8.0,4.6000059228390455e-06,3.1999952625483274e-06,0.0
gzip_random,gzip-random,already_compressed,test,fastest,raw|default|identity,raw,,identity,8.0,4.6000059228390455e-06,3.1999952625483274e-06,0.0
gzip_random,gzip-random,already_compressed,test,balanced,raw|default|identity,raw,,identity,8.0,4.6000059228390455e-06,3.1999952625483274e-06,0.0
gzip_text,gzip-readme,already_compressed,train,smallest,raw|default|identity,raw,,identity,8.0,3.100009053014219e-06,2.0000006770715117e-06,0.0
gzip_text,gzip-readme,already_compressed,train,fastest,raw|default|identity,raw,,identity,8.0,3.100009053014219e-06,2.0000006770715117e-06,0.0
gzip_text,gzip-readme,already_compressed,train,balanced,raw|default|identity,raw,,identity,8.0,3.100009053014219e-06,2.0000006770715117e-06,0.0
image_ppm,validation-image,image,train,smallest,lzma2|6|identity,lzma2,6,identity,5.13452188006483,0.006636999998590909,0.0003315999929327518,0.0002671882854769037
image_ppm,validation-image,image,train,fastest,lzma2|6|identity,lzma2,6,identity,5.13452188006483,0.006636999998590909,0.0003315999929327518,0.011132401844702799
image_ppm,validation-image,image,train,balanced,lzma2|6|identity,lzma2,6,identity,5.13452188006483,0.006636999998590909,0.0003315999929327518,0.00523232641138065
json_lines_16k,json-lines,json,train,smallest,brotli|6|dictionary,brotli,6,dictionary,0.0322265625,0.0002530999918235466,0.002864099995349534,3.1563099462752564e-05
json_lines_16k,json-lines,json,train,fastest,zstd|9|identity,zstd,9,identity,0.041015625,3.0100010917522013e-05,5.89998671784997e-06,6.677349217949343e-05
json_lines_16k,json-lines,json,train,balanced,brotli|6|identity,brotli,6,identity,0.03369140625,0.00025949999690055847,4.089999129064381e-05,0.00013925866786424298
logs_16k,kaggle-log,logs,train,smallest,raw|default|identity,raw,,identity,0.0,3.40001133736223e-06,2.3000029614195228e-06,0.0
logs_16k,kaggle-log,logs,train,fastest,raw|default|identity,raw,,identity,0.0,3.40001133736223e-06,2.3000029614195228e-06,0.0
logs_16k,kaggle-log,logs,train,balanced,raw|default|identity,raw,,identity,0.0,3.40001133736223e-06,2.3000029614195228e-06,0.0
model_checkpoint,protected-gru-fragment,model,train,smallest,lzma2|3|byte-shuffle,lzma2,3,byte-shuffle,6.7734375,0.01486060000024736,0.0046249000006355345,4.5422206231565286e-05
model_checkpoint,protected-gru-fragment,model,train,fastest,lzma2|3|byte-shuffle,lzma2,3,byte-shuffle,6.7734375,0.01486060000024736,0.0046249000006355345,0.0016798884902631212
model_checkpoint,protected-gru-fragment,model,train,balanced,lzma2|3|byte-shuffle,lzma2,3,byte-shuffle,6.7734375,0.01486060000024736,0.0046249000006355345,0.0008363423463551287
neural_binary_256,neural-binary,neural_calibration,train,smallest,deflate|6|delta,deflate,6,delta,0.375,2.4299995857290924e-05,4.260000423528254e-05,6.694637486401808e-07
neural_binary_256,neural-binary,neural_calibration,train,fastest,deflate|6|delta,deflate,6,delta,0.375,2.4299995857290924e-05,4.260000423528254e-05,1.7040581792889018e-05
neural_binary_256,neural-binary,neural_calibration,train,balanced,deflate|6|delta,deflate,6,delta,0.375,2.4299995857290924e-05,4.260000423528254e-05,1.0396896477423913e-05
neural_text_256,neural-text,neural_calibration,test,smallest,brotli|6|identity,brotli,6,identity,0.875,0.00011779999476857483,1.5199999324977398e-05,1.3954015351167325e-06
neural_text_256,neural-text,neural_calibration,test,fastest,brotli|6|identity,brotli,6,identity,0.875,0.00011779999476857483,1.5199999324977398e-05,5.6779792195393024e-05
neural_text_256,neural-text,neural_calibration,test,balanced,brotli|6|identity,brotli,6,identity,0.875,0.00011779999476857483,1.5199999324977398e-05,2.6986128787418303e-05
numeric_delta,numeric-delta,scientific,test,smallest,zstd|3|byte-shuffle,zstd,3,byte-shuffle,0.0672607421875,6.740000389982015e-05,0.0001396999869029969,0.010000515216126764
numeric_delta,numeric-delta,scientific,test,fastest,zstd|9|identity,zstd,9,identity,1.0194091796875,0.003987999996752478,0.00019520000205375254,0.006473675685418659
numeric_delta,numeric-delta,scientific,test,balanced,zstd|3|byte-shuffle,zstd,3,byte-shuffle,0.0672607421875,6.740000389982015e-05,0.0001396999869029969,0.05000799004631572
numeric_float,numeric-float,scientific,train,smallest,lzma2|3|byte-shuffle,lzma2,3,byte-shuffle,2.0830078125,0.005098399997223169,0.0009755999926710501,2.988494264445464e-05
numeric_float,numeric-float,scientific,train,fastest,lzma2|3|byte-shuffle,lzma2,3,byte-shuffle,2.0830078125,0.005098399997223169,0.0009755999926710501,0.001162633619645879
numeric_float,numeric-float,scientific,train,balanced,lzma2|3|byte-shuffle,lzma2,3,byte-shuffle,2.0830078125,0.005098399997223169,0.0009755999926710501,0.0005646037124856372
pdf_8k,pdf-fragment,pdf,train,smallest,brotli|6|identity,brotli,6,identity,0.0732421875,0.0002522999857319519,2.7600006433203816e-05,5.3681542052819784e-06
