best_codec,best_level,best_strategy,best_transform,expected_bpb,expected_compression_time,expected_decompression_time,profile,profile_score,sample_id,source_category,source_group,split
brotli,6,brotli|6|identity,identity,7.1793212890625,0.0037348000041674823,0.000606399989919737,smallest,0.009868473682458126,0009fdc8364a97fb75b4,video,real:engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__outside_talking_pan_laughing__SB6PMCO0.mp4,train
zstd,6,zstd|6|identity,identity,7.352294921875,0.0012045000039506704,3.429999924264848e-05,fastest,0.013040968347993006,0009fdc8364a97fb75b4,video,real:engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__outside_talking_pan_laughing__SB6PMCO0.mp4,train
brotli,6,brotli|6|identity,identity,7.1793212890625,0.0037348000041674823,0.000606399989919737,balanced,0.019354853687495215,0009fdc8364a97fb75b4,video,real:engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__outside_talking_pan_laughing__SB6PMCO0.mp4,train
brotli,4,brotli|4|identity,identity,0.13055555555555556,0.0001320000010309741,4.2400002712383866e-05,smallest,0.001737946429639568,003efe4d5c582a31e3df,source_code,real:engines\XAI-Compress\.test-tmp\final-all\test_corpus_roundtrip0\corpus\code\sample.js,train
zstd,9,zstd|9|identity,identity,0.1527777777777778,5.089999467600137e-05,1.4899997040629387e-05,fastest,0.005692593897223169,003efe4d5c582a31e3df,source_code,real:engines\XAI-Compress\.test-tmp\final-all\test_corpus_roundtrip0\corpus\code\sample.js,train
zstd,9,zstd|9|identity,identity,0.1527777777777778,5.089999467600137e-05,1.4899997040629387e-05,balanced,0.005111000527430283,003efe4d5c582a31e3df,source_code,real:engines\XAI-Compress\.test-tmp\final-all\test_corpus_roundtrip0\corpus\code\sample.js,train
brotli,9,brotli|9|identity,identity,6.9830322265625,0.027535000001080334,0.0006136000010883436,smallest,0.003932988559119873,004a5a754558b01c4dba,video,real:engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\04_26__outside_talking_pan_laughing__WX836VLY.mp4,train
zstd,6,zstd|6|identity,identity,7.1925048828125,0.0010779000003822148,3.429999924264848e-05,fastest,0.012648772773866243,004a5a754558b01c4dba,video,real:engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\04_26__outside_talking_pan_laughing__WX836VLY.mp4,train
brotli,6,brotli|6|identity,identity,6.98388671875,0.0038311999960569665,0.0005875999922864139,balanced,0.016656584671693203,004a5a754558b01c4dba,video,real:engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\04_26__outside_talking_pan_laughing__WX836VLY.mp4,train
brotli,6,brotli|6|identity,identity,7.2860107421875,0.003963800001656637,0.0005837999924551696,smallest,0.020835842157090688,00683385e73ae61a9829,video,real:engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_07__exit_phone_room__6PHZRQ4H.mp4,train
zstd,1,zstd|1|identity,identity,7.431884765625,0.0003581000055419281,3.880000440403819e-05,fastest,0.012433299610819046,00683385e73ae61a9829,video,real:engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_07__exit_phone_room__6PHZRQ4H.mp4,train
brotli,6,brotli|6|identity,identity,7.2860107421875,0.003963800001656637,0.0005837999924551696,balanced,0.024236677751404145,00683385e73ae61a9829,video,real:engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_07__exit_phone_room__6PHZRQ4H.mp4,train
brotli,11,brotli|11|identity,identity,3.259259259259259,0.005329899999196641,4.339999577496201e-05,smallest,0.011609642535185323,0096ff08930def274ad4,csv,real:engines\XAI-Compress\results\final_analysis\model_inventory.csv,train
deflate,6,deflate|6|identity,identity,3.5016835016835017,6.769999163225293e-05,1.7700003809295595e-05,fastest,0.012513358731701613,0096ff08930def274ad4,csv,real:engines\XAI-Compress\results\final_analysis\model_inventory.csv,train
deflate,6,deflate|6|identity,identity,3.5016835016835017,6.769999163225293e-05,1.7700003809295595e-05,balanced,0.029215347600374423,0096ff08930def274ad4,csv,real:engines\XAI-Compress\results\final_analysis\model_inventory.csv,train
