confidence,model,optimal_strategy,profile,regret,sample_id,selected_strategy,source_category,top1_correct,top2_recall,top3_recall
N/A,rule_based,raw|default|identity,smallest,0.0,83006c8d53bccd432146,raw|default|identity,logs,True,True,True
N/A,rule_based,raw|default|identity,fastest,0.0,83006c8d53bccd432146,raw|default|identity,logs,True,True,True
N/A,rule_based,raw|default|identity,balanced,0.0,83006c8d53bccd432146,raw|default|identity,logs,True,True,True
N/A,rule_based,brotli|11|identity,smallest,0.07817915923137082,af06e08a932131b2bd52,zstd|9|identity,source_code,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.008964243653032215,af06e08a932131b2bd52,zstd|1|identity,source_code,False,False,False
N/A,rule_based,deflate|9|identity,balanced,0.016929203598571294,af06e08a932131b2bd52,zstd|9|identity,source_code,False,False,False
N/A,rule_based,deflate|9|identity,smallest,0.193053384918032,c00053085b900f5df548,raw|default|identity,archive,False,False,False
N/A,rule_based,raw|default|identity,fastest,0.0,c00053085b900f5df548,raw|default|identity,archive,True,True,True
N/A,rule_based,deflate|9|identity,balanced,0.037440687590388766,c00053085b900f5df548,raw|default|identity,archive,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.9425261515404465,1dd8a06c1d6eba581589,raw|default|identity,model,False,False,False
N/A,rule_based,zstd|9|identity,fastest,0.032151690948769414,1dd8a06c1d6eba581589,raw|default|identity,model,False,False,False
N/A,rule_based,brotli|6|identity,balanced,0.3899396431216374,1dd8a06c1d6eba581589,raw|default|identity,model,False,False,False
N/A,rule_based,brotli|6|identity,smallest,0.953629551005407,ea302a0aad67d6028fa2,raw|default|identity,video,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.03794223641445056,ea302a0aad67d6028fa2,raw|default|identity,video,False,False,False
N/A,rule_based,brotli|6|identity,balanced,0.43090877534426664,ea302a0aad67d6028fa2,raw|default|identity,video,False,False,False
N/A,rule_based,raw|default|identity,smallest,0.0,86aebd2a6ca744d6ce03,raw|default|identity,archive,True,True,True
N/A,rule_based,raw|default|identity,fastest,0.0,86aebd2a6ca744d6ce03,raw|default|identity,archive,True,True,True
N/A,rule_based,raw|default|identity,balanced,0.0,86aebd2a6ca744d6ce03,raw|default|identity,archive,True,True,True
N/A,rule_based,brotli|11|identity,smallest,0.04001329662461177,14d03c12483022a2865d,brotli|9|identity,source_code,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.0015712919058854212,14d03c12483022a2865d,zstd|1|identity,source_code,False,False,False
N/A,rule_based,deflate|6|identity,balanced,0.09329216302393027,14d03c12483022a2865d,brotli|9|identity,source_code,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.9443842000890523,7949ac89c2483924ee9c,raw|default|identity,video,False,False,False
N/A,rule_based,zstd|1|identity,fastest,0.03867517729927247,7949ac89c2483924ee9c,raw|default|identity,video,False,True,True
N/A,rule_based,brotli|6|identity,balanced,0.4312437822906723,7949ac89c2483924ee9c,raw|default|identity,video,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.26080968877999366,50bbd74ef7529f18b9d2,zstd|9|identity,csv,False,False,False
N/A,rule_based,zstd|9|identity,fastest,0.0062868846501419814,50bbd74ef7529f18b9d2,zstd|1|identity,csv,False,False,False
N/A,rule_based,brotli|4|identity,balanced,0.03785577829172811,50bbd74ef7529f18b9d2,zstd|9|identity,csv,False,False,False
N/A,rule_based,lzma2|6|identity,smallest,0.03291648160679812,8532a7e7c38dfc36aa1a,brotli|9|identity,executable,False,True,True
N/A,rule_based,deflate|1|identity,fastest,0.0021076768710349934,8532a7e7c38dfc36aa1a,zstd|1|identity,executable,False,True,True
N/A,rule_based,zstd|9|identity,balanced,0.026031974835708217,8532a7e7c38dfc36aa1a,brotli|9|identity,executable,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.023011343869684835,e1347c6d4abccf03a43d,brotli|9|identity,source_code,False,False,False
N/A,rule_based,zstd|6|identity,fastest,0.0045352952003471295,e1347c6d4abccf03a43d,zstd|1|identity,source_code,False,False,False
N/A,rule_based,deflate|9|identity,balanced,0.07244650729975205,e1347c6d4abccf03a43d,brotli|9|identity,source_code,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.05955799219469135,4bb6ea144fbc0976bcbe,brotli|9|identity,text,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.0019095760881292084,4bb6ea144fbc0976bcbe,zstd|1|identity,text,False,False,False
N/A,rule_based,brotli|4|identity,balanced,0.08612853753325277,4bb6ea144fbc0976bcbe,brotli|9|identity,text,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.0005683488037370177,b431de9bd8324ec90c36,brotli|9|identity,image,False,False,False
N/A,rule_based,zstd|6|identity,fastest,0.003046350235934558,b431de9bd8324ec90c36,zstd|1|identity,image,False,False,False
N/A,rule_based,zstd|6|identity,balanced,0.08102349648818583,b431de9bd8324ec90c36,brotli|9|identity,image,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.9436498727192841,0f2fe15d122a243582d7,raw|default|identity,model,False,False,False
N/A,rule_based,zstd|9|identity,fastest,0.03442426139936906,0f2fe15d122a243582d7,raw|default|identity,model,False,False,False
N/A,rule_based,brotli|6|identity,balanced,0.39211793930247363,0f2fe15d122a243582d7,raw|default|identity,model,False,False,False
N/A,rule_based,brotli|4|identity,smallest,0.0005506339396689503,dfc1d98f85ad6d98296f,brotli|9|identity,text,False,False,False
N/A,rule_based,deflate|1|identity,fastest,0.002133919029603854,dfc1d98f85ad6d98296f,zstd|1|identity,text,False,True,True
N/A,rule_based,zstd|6|identity,balanced,0.0264244658612221,dfc1d98f85ad6d98296f,brotli|9|identity,text,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.048601750266058154,719549724763a3953a3a,brotli|9|identity,json,False,False,False
N/A,rule_based,zstd|6|identity,fastest,0.015192471195493926,719549724763a3953a3a,zstd|1|identity,json,False,False,False
N/A,rule_based,deflate|9|identity,balanced,0.02076618399066757,719549724763a3953a3a,brotli|9|identity,json,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.9421618385209322,877d1082be38e6b19065,raw|default|identity,model,False,False,False
N/A,rule_based,zstd|9|identity,fastest,0.03325743034144549,877d1082be38e6b19065,raw|default|identity,model,False,False,False
N/A,rule_based,brotli|6|identity,balanced,0.3932140607047131,877d1082be38e6b19065,raw|default|identity,model,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.43028422237766023,ab9fd50e606430ff1ad4,raw|default|identity,archive,False,False,False
N/A,rule_based,zstd|9|identity,fastest,0.017321467833258424,ab9fd50e606430ff1ad4,raw|default|identity,archive,False,False,False
N/A,rule_based,deflate|9|identity,balanced,0.18482880788282222,ab9fd50e606430ff1ad4,raw|default|identity,archive,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.005295195381303998,801658a38cf0cafec5ef,brotli|9|identity,image,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.003523405147910788,801658a38cf0cafec5ef,zstd|1|identity,image,False,False,False
N/A,rule_based,zstd|6|identity,balanced,0.0939733388925543,801658a38cf0cafec5ef,brotli|9|identity,image,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.1157859133942242,f8acbe64385c0bc28390,brotli|9|identity,markdown,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.004800759800016437,f8acbe64385c0bc28390,zstd|1|identity,markdown,False,False,False
N/A,rule_based,deflate|6|identity,balanced,0.11916711379175603,f8acbe64385c0bc28390,brotli|9|identity,markdown,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.1418627418764623,1cff286a0579303a0e2e,brotli|9|identity,markdown,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.007928754906147965,1cff286a0579303a0e2e,zstd|1|identity,markdown,False,False,False
N/A,rule_based,deflate|9|identity,balanced,0.06836265385051804,1cff286a0579303a0e2e,brotli|9|identity,markdown,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.08295779779136643,8028fd8746ec7555a569,brotli|9|identity,markdown,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.0023320059678016702,8028fd8746ec7555a569,zstd|1|identity,markdown,False,False,False
N/A,rule_based,deflate|6|identity,balanced,0.04223569154801905,8028fd8746ec7555a569,brotli|9|identity,markdown,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.034632182139798476,5cfd18ecb4615302b290,brotli|9|identity,binary,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.0033423912553536966,5cfd18ecb4615302b290,zstd|1|identity,binary,False,False,False
N/A,rule_based,deflate|6|identity,balanced,0.08675444765999603,5cfd18ecb4615302b290,brotli|9|identity,binary,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.042635654386994765,63b80d177dabc1b0609f,brotli|9|identity,executable,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.0011889197580068032,63b80d177dabc1b0609f,zstd|1|identity,executable,False,False,False
N/A,rule_based,zstd|9|identity,balanced,0.06850651308908765,63b80d177dabc1b0609f,brotli|9|identity,executable,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.14549880199766102,2b5091e58cb6922ad60d,brotli|9|identity,markdown,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.004814312433219219,2b5091e58cb6922ad60d,zstd|1|identity,markdown,False,False,False
N/A,rule_based,brotli|4|identity,balanced,0.040434903530040534,2b5091e58cb6922ad60d,brotli|9|identity,markdown,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.01318276665781861,0d2d1d7dc57adc8c4df6,brotli|9|identity,source_code,False,False,False
N/A,rule_based,zstd|6|identity,fastest,0.0039306834257366065,0d2d1d7dc57adc8c4df6,zstd|1|identity,source_code,False,False,False
N/A,rule_based,deflate|6|identity,balanced,0.06417840179566253,0d2d1d7dc57adc8c4df6,brotli|9|identity,source_code,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.07218474890151456,d3bde520fa745484d111,zstd|9|identity,json,False,False,False
N/A,rule_based,deflate|9|identity,fastest,0.02296547727244014,d3bde520fa745484d111,zstd|1|identity,json,False,False,False
N/A,rule_based,deflate|9|identity,balanced,0.01930368528338993,d3bde520fa745484d111,zstd|9|identity,json,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.010686752612287628,cd260a4c13627b0f1896,brotli|9|identity,logs,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.0013167962484514212,cd260a4c13627b0f1896,zstd|1|identity,logs,False,False,False
N/A,rule_based,zstd|6|identity,balanced,0.06861328029425637,cd260a4c13627b0f1896,brotli|9|identity,logs,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.007042642962605733,5b2a797175be2fc16d7c,brotli|9|identity,json,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.0016647418775193948,5b2a797175be2fc16d7c,zstd|1|identity,json,False,False,False
N/A,rule_based,deflate|6|identity,balanced,0.05661494112480092,5b2a797175be2fc16d7c,brotli|9|identity,json,False,False,False
N/A,rule_based,brotli|11|identity,smallest,0.007171424068512056,3302eb1afa92cfba09db,brotli|9|identity,source_code,False,False,False
N/A,rule_based,zstd|3|identity,fastest,0.0052792026612727885,3302eb1afa92cfba09db,zstd|1|identity,source_code,False,False,False
N/A,rule_based,deflate|9|identity,balanced,0.1262101176739295,3302eb1afa92cfba09db,brotli|9|identity,source_code,False,False,False
N/A,rule_based,brotli|9|identity,smallest,0.0,d27dc1d6d4717d80c545,brotli|9|identity,json,True,True,True
N/A,rule_based,zstd|3|identity,fastest,0.0002426844027446527,d27dc1d6d4717d80c545,zstd|1|identity,json,False,False,False
N/A,rule_based,zstd|9|identity,balanced,0.011736169921917509,d27dc1d6d4717d80c545,brotli|9|identity,json,False,False,False
