category,compressed_bytes,files,method,original_bytes,weighted_bpb
archive,22682330,3,hybrid_v1,22678724,8.001272029237624
binary,16439,9,hybrid_v1,44990,2.9231384752167147
csv,101579,16,hybrid_v1,933882,0.8701656097879603
executable,30842,2,hybrid_v1,57152,4.317189249720045
image,8124,2,hybrid_v1,18908,3.4372752274169662
json,24743,12,hybrid_v1,124916,1.5846168625316213
logs,5070,2,hybrid_v1,47623,0.8516893097872876
markdown,14646,9,hybrid_v1,16343,7.16930796059475
model,57071673,6,hybrid_v1,62479302,7.307594185351174
source_code,162439,37,hybrid_v1,585110,2.220970415819248
text,2318,2,hybrid_v1,1946,9.52929085303186
video,281591811,40,hybrid_v1,281457762,8.003810134751232
archive,22679009,3,hybrid_v2,22678724,8.000100534756717
binary,10585,9,hybrid_v2,44990,1.8821960435652367
csv,95403,16,hybrid_v2,933882,0.8172595681253092
executable,30460,2,hybrid_v2,57152,4.263717805151176
image,19042,2,hybrid_v2,18908,8.056695578591073
json,17476,12,hybrid_v2,124916,1.1192161132280893
logs,3965,2,hybrid_v2,47623,0.6660647166285198
markdown,8857,9,hybrid_v2,16343,4.335556507373187
model,61421612,6,hybrid_v2,62479302,7.864570830192693
source_code,144459,37,hybrid_v2,585110,1.9751362991574233
text,966,2,hybrid_v2,1946,3.971223021582734
video,281466614,40,hybrid_v2,281457762,8.000251604359734
archive,22679009,3,hybrid_v3_confidence,22678724,8.000100534756717
binary,10636,9,hybrid_v3_confidence,44990,1.8912647254945543
csv,94849,16,hybrid_v3_confidence,933882,0.812513786538342
executable,30445,2,hybrid_v3_confidence,57152,4.261618141097425
image,19042,2,hybrid_v3_confidence,18908,8.056695578591073
json,17491,12,hybrid_v3_confidence,124916,1.1201767587819014
logs,3959,2,hybrid_v3_confidence,47623,0.6650568002855763
markdown,8823,9,hybrid_v3_confidence,16343,4.318913296212446
model,57715550,6,hybrid_v3_confidence,62479302,7.390037744019612
source_code,144267,37,hybrid_v3_confidence,585110,1.9725111517492437
text,1002,2,hybrid_v3_confidence,1946,4.1192189105858175
video,281466614,40,hybrid_v3_confidence,281457762,8.000251604359734
archive,22679009,3,hybrid_v3_top2,22678724,8.000100534756717
binary,10645,9,hybrid_v3_top2,44990,1.8928650811291399
csv,97527,16,hybrid_v3_top2,933882,0.8354545863396018
executable,30420,2,hybrid_v3_top2,57152,4.258118701007839
image,19042,2,hybrid_v3_top2,18908,8.056695578591073
json,17492,12,hybrid_v3_top2,124916,1.1202408018188224
logs,3965,2,hybrid_v3_top2,47623,0.6660647166285198
markdown,8856,9,hybrid_v3_top2,16343,4.335067001162577
model,62073508,6,hybrid_v3_top2,62479302,7.948041160895172
source_code,144813,37,hybrid_v3_top2,585110,1.9799764146912546
text,1002,2,hybrid_v3_top2,1946,4.1192189105858175
video,281466614,40,hybrid_v3_top2,281457762,8.000251604359734
archive,22679009,3,hybrid_v3_top3,22678724,8.000100534756717
binary,10645,9,hybrid_v3_top3,44990,1.8928650811291399
csv,94847,16,hybrid_v3_top3,933882,0.8124966537528295
executable,30420,2,hybrid_v3_top3,57152,4.258118701007839
image,19042,2,hybrid_v3_top3,18908,8.056695578591073
json,17486,12,hybrid_v3_top3,124916,1.1198565435972974
logs,3959,2,hybrid_v3_top3,47623,0.6650568002855763
markdown,8851,9,hybrid_v3_top3,16343,4.332619470109527
model,57715541,6,hybrid_v3_top3,62479302,7.39003659163798
source_code,141376,37,hybrid_v3_top3,585110,1.9329835415562886
text,970,2,hybrid_v3_top3,1946,3.9876670092497433
video,281466614,40,hybrid_v3_top3,281457762,8.000251604359734
archive,21959217,3,brotli-11,22678724,7.746191364205499
binary,8739,9,brotli-11,44990,1.553945321182485
csv,66071,16,brotli-11,933882,0.5659901357987411
executable,27740,2,brotli-11,57152,3.882978723404255
image,6368,2,brotli-11,18908,2.694309287074254
json,14135,12,brotli-11,124916,0.9052483268756605
logs,3157,2,brotli-11,47623,0.530331982445457
markdown,6664,9,brotli-11,16343,3.262069387505354
model,56009941,6,brotli-11,62479302,7.171647468148731
source_code,121734,37,brotli-11,585110,1.6644254926424091
text,699,2,brotli-11,1946,2.8735868448098665
video,281235468,40,brotli-11,281457762,7.993681638099574
