category,log2_file_size,origin,original_bytes,reject_reason,sha256,size_bucket,source_group,source_id,source_path,split
logs,3.807354922057604,real,14,transient_test_artifact,1bce5d30039d918c8b574936c7d366d803d12d85a0f175c10be134c95ce22a12,lt_16KiB,real:engines\XAI-Compress\.test-tmp\final-all\test_package_filter_and_metada0\project\run.log,83006c8d53bccd432146,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_package_filter_and_metada0\project\run.log,test
model,14.773654362961869,real,28010,transient_test_artifact,27b20c0e95c3813660d99c2c63926c05dc14e524f73f352f358d7bb5046ce9e9,16_64KiB,real:engines\XAI-Compress\.test-tmp\final-all\test_neural_rans_roundtrip0\tiny.pt,1dd8a06c1d6eba581589,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_neural_rans_roundtrip0\tiny.pt,test
csv,8.375039431346925,real,332,transient_test_artifact,0638dbf32f86a0c2185d357a1dca165ac29c95900b40a4d50912258e29eb124f,lt_16KiB,real:engines\XAI-Compress\.test-tmp\final-validation\test_experiment_log_and_manife0\experiments.csv,50bbd74ef7529f18b9d2,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-validation\test_experiment_log_and_manife0\experiments.csv,test
model,15.8687502253362,real,59837,transient_test_artifact,8f59d38480a0dfffc5c232dc58170ad4e9e1ec221ebfb37648edae7b172edab9,16_64KiB,real:engines\XAI-Compress\.test-tmp\final-validation\test_neural_transformer_roundt0\tr.pt,0f2fe15d122a243582d7,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-validation\test_neural_transformer_roundt0\tr.pt,test
text,12.430452551665532,real,5520,transient_test_artifact,c3ae556618076354af7f0653003ef9363cf765561d1c416f56ada64f2e14a054,lt_16KiB,real:engines\XAI-Compress\.test-tmp\final-all\test_corpus_roundtrip0\corpus\text\article.txt,dfc1d98f85ad6d98296f,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_corpus_roundtrip0\corpus\text\article.txt,test
model,14.773654362961869,real,28010,transient_test_artifact,1cd2f88c445f01fb6e2968bc6bda243dcfd97d28763989271b65a797703b9ac1,16_64KiB,real:engines\XAI-Compress\.test-tmp\full-rust-resume\test_neural_gru_roundtrip0\tiny.pt,877d1082be38e6b19065,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\full-rust-resume\test_neural_gru_roundtrip0\tiny.pt,test
binary,13.0,real,8192,transient_test_artifact,dc404a613fedaeb54034514bc6505f56b933caa5250299ba7d094377a51caa46,lt_16KiB,real:engines\XAI-Compress\.test-tmp\final-all\test_corpus_roundtrip0\corpus\binary\pattern.bin,37bf4fda9ad1b112c95c,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_corpus_roundtrip0\corpus\binary\pattern.bin,test
binary,9.932214751968385,real,977,transient_test_artifact,06f7e250d632174553dde1d7174b94439292a9b656d5d63bbf5e4e96aec4f3f6,lt_16KiB,real:engines\XAI-Compress\.test-tmp\final-all\test_v3_chunk_checksum_failure0\out,329e3e0988ab39a3841f,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_v3_chunk_checksum_failure0\out,test
binary,8.214319120800766,real,297,transient_test_artifact,0daa34c213808d69ddd0a13311c3fc9d130b01909e77583d9ac709026289f4d6,lt_16KiB,real:engines\XAI-Compress\.test-tmp\final-all\test_v3_tiny_chunks_and_empty_0\out,04037223be7801e52d02,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_v3_tiny_chunks_and_empty_0\out,test
binary,1.0,real,2,transient_test_artifact,fb8e20fc2e4c3f248c60c39bd652f3c1347298bb977b8b4d5903b85055620603,lt_16KiB,real:engines\XAI-Compress\.test-tmp\final-all\test_v3_tiny_chunks_and_empty_2\in,1d6d63467cb8c5a8f0b8,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_v3_tiny_chunks_and_empty_2\in,test
