compressed_bytes,files,method,original_bytes,size_bucket,weighted_bpb
74256,8,hybrid_v1,287013,16_64KiB,2.0697599063457055
166213772,36,hybrid_v1,166422449,1_10MiB,7.9899688052301165
294391,6,hybrid_v1,1523561,64KiB_1MiB,1.545804861111567
195013866,10,hybrid_v1,200053598,gt_10MiB,7.798464729437158
115729,80,hybrid_v1,160037,lt_16KiB,5.785112192805414
72381,8,hybrid_v2,287013,16_64KiB,2.017497465271608
166425196,36,hybrid_v2,166422449,1_10MiB,8.000132049492914
323087,6,hybrid_v2,1523561,64KiB_1MiB,1.6964834358453649
199002092,10,hybrid_v2,200053598,gt_10MiB,7.9579510287038175
75692,80,hybrid_v2,160037,lt_16KiB,3.7837250135906073
71788,8,hybrid_v3_confidence,287013,16_64KiB,2.00096859724124
166425196,36,hybrid_v3_confidence,166422449,1_10MiB,8.000132049492914
323087,6,hybrid_v3_confidence,1523561,64KiB_1MiB,1.6964834358453649
195296030,10,hybrid_v3_confidence,200053598,gt_10MiB,7.809748265562312
75586,80,hybrid_v3_confidence,160037,lt_16KiB,3.778426238932247
74489,8,hybrid_v3_top2,287013,16_64KiB,2.0762543856898468
166425196,36,hybrid_v3_top2,166422449,1_10MiB,8.000132049492914
323554,6,hybrid_v3_top2,1523561,64KiB_1MiB,1.6989355857756927
199653988,10,hybrid_v3_top2,200053598,gt_10MiB,7.984019882511686
75666,80,hybrid_v3_top2,160037,lt_16KiB,3.7824253141461037
71824,8,hybrid_v3_top3,287013,16_64KiB,2.0019720361098625
166425196,36,hybrid_v3_top3,166422449,1_10MiB,8.000132049492914
320128,6,hybrid_v3_top3,1523561,64KiB_1MiB,1.680946151811447
195296021,10,hybrid_v3_top3,200053598,gt_10MiB,7.809747905658763
75591,80,hybrid_v3_top3,160037,lt_16KiB,3.778676181133113
60797,8,brotli-11,287013,16_64KiB,1.6946131359903558
165919979,36,brotli-11,166422449,1_10MiB,7.9758460470678445
257826,6,brotli-11,1523561,64KiB_1MiB,1.3538072975089281
193170952,10,brotli-11,200053598,gt_10MiB,7.724767919445268
50379,80,brotli-11,160037,lt_16KiB,2.518367627486144
