2026-08-31T00:46:00.4517605+02:00 Monitoring existing kernel mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry
2026-08-31T00:46:03.0149564+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:46:50.0742591+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:47:36.9803155+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:48:24.3409324+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:49:11.4054001+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:49:58.7313954+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:50:46.2456282+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:51:33.1461843+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:52:20.3581120+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:53:07.7839105+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:53:55.4080111+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:54:42.4984406+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:55:29.3066044+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:56:16.6100213+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:57:03.6825207+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:57:50.7150300+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:58:37.7169977+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T00:59:25.1549009+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:00:12.3342731+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:00:59.6500688+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:01:46.9689363+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:02:35.7121454+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:03:23.0054859+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:04:11.7316396+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:19:35.4867409+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:20:23.7276630+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:21:11.9780409+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:22:00.1776867+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:22:48.1073199+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:23:36.2181650+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:24:25.1398179+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:25:13.2980581+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:26:01.4282488+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
2026-08-31T01:26:49.7081549+02:00 mohameddtaieb/xai-compress-candidate-a-lr-0-0003-clean-retry has status "KernelWorkerStatus.RUNNING"
